short_name,age,height_cm,weight_kg,overall,potential,pace,shooting,passing,dribbling,defending,physic,player_positions,position_category
S. Milinković-Savić,26,191,76,85,87,68,79,80,81,79,86,"CM, CDM, CAM",MIDFIELDER
W. Ndidi,24,183,74,85,88,67,62,69,74,87,83,"CDM, CM",MIDFIELDER
Oyarzabal,24,181,79,85,89,82,82,81,84,41,63,"LW, RW",ATTACKER
L. Martínez,23,174,72,85,89,84,81,72,85,48,84,ST,ATTACKER
M. Rashford,23,186,70,85,89,90,84,79,84,43,77,"LM, ST",MIDFIELDER
A. Hakimi,22,181,73,85,88,95,71,78,83,76,78,"RB, RWB",DEFENDER
M. de Ligt,21,189,89,85,90,73,59,60,69,84,87,CB,DEFENDER
Z. Ibrahimović,39,195,95,84,84,65,87,78,79,34,77,ST,ATTACKER
Jesús Navas,35,172,60,84,84,87,69,81,83,79,58,"RB, RM",DEFENDER
Piqué,34,194,85,84,84,58,61,71,68,85,78,CB,DEFENDER
D. Mertens,34,169,61,84,84,85,82,80,88,34,50,"CF, ST, CAM",ATTACKER
G. Wijnaldum,30,175,74,84,84,77,75,80,86,79,79,"CM, CDM",MIDFIELDER
J. Henderson,31,182,80,84,84,66,74,83,79,78,81,"CDM, CM",MIDFIELDER
Fernando,33,183,76,84,84,66,62,75,74,83,82,"CDM, CM",MIDFIELDER
K. Trippier,30,173,69,84,84,73,63,82,77,80,72,"RB, RWB, RM",DEFENDER
Iago Aspas,33,176,67,84,84,82,85,79,86,35,63,"ST, RW",ATTACKER
D. Alaba,29,180,78,84,84,77,70,81,80,83,76,"CB, LB",DEFENDER
Luis Alberto,28,183,74,84,84,60,76,86,84,57,59,"CAM, CM, CF",ATTACKER
D. Tadić,32,181,76,84,84,69,81,85,85,43,76,"LW, CF, CAM",ATTACKER
W. Ben Yedder,30,170,68,84,84,82,84,77,87,39,70,ST,ATTACKER
L. Digne,27,178,74,84,84,79,69,80,80,80,76,LB,DEFENDER
J. Iličić,33,190,79,84,84,75,86,84,86,40,67,"CF, ST",ATTACKER
H. Maguire,28,194,100,84,86,50,55,69,70,85,87,CB,DEFENDER
S. Savić,30,187,80,84,84,64,35,57,58,87,76,CB,DEFENDER
M. Sabitzer,27,178,76,84,85,78,84,81,80,67,78,"CM, CDM, CAM",MIDFIELDER
L. Shaw,25,181,75,84,86,79,54,79,80,81,80,LB,DEFENDER
J. Grealish,25,180,81,84,85,80,76,83,88,46,64,"LW, LM, CAM",ATTACKER
M. Ginter,27,191,86,84,85,62,58,72,66,86,79,CB,DEFENDER
Felipe,32,190,84,84,84,61,41,58,62,85,84,CB,DEFENDER
Y. Carrasco,27,185,73,84,84,88,81,78,85,45,67,"LM, ST",MIDFIELDER
F. Kostić,28,184,82,84,84,88,77,82,83,68,80,"LM, LWB",MIDFIELDER
H. Ziyech,28,181,65,84,84,78,76,87,83,50,65,"RW, CAM",ATTACKER
R. Guerreiro,27,170,71,84,84,75,77,85,88,76,58,"LB, LM",DEFENDER
Ricardo Pereira,27,175,70,84,84,83,67,78,82,80,75,"RB, RM",DEFENDER
T. Werner,25,180,76,84,87,91,81,70,82,35,70,"ST, LW",ATTACKER
M. Brozović,28,181,68,84,84,69,74,80,79,79,78,"CDM, CM",MIDFIELDER
Y. Tielemans,24,176,72,84,87,63,79,86,80,71,72,"CM, CDM",MIDFIELDER
J. Giménez,26,185,79,84,88,69,45,57,59,86,80,CB,DEFENDER
N. Fekir,27,173,75,84,84,83,83,82,87,38,79,"CAM, RM, ST",ATTACKER
L. Sané,25,183,80,84,87,90,81,79,85,38,68,"RM, LM",MIDFIELDER
N. Barella,24,172,68,84,89,78,71,79,86,75,78,CM,MIDFIELDER
M. Acuña,29,172,69,84,84,76,74,82,87,79,82,"LB, LM",DEFENDER
André Silva,25,185,84,84,85,74,84,69,83,45,77,ST,ATTACKER
F. Kessié,24,183,88,84,86,78,74,74,80,82,87,"CDM, CM",MIDFIELDER
T. Hernández,23,184,81,84,90,93,71,76,81,77,82,LB,DEFENDER
K. Havertz,22,188,82,84,92,82,78,79,84,45,66,"CAM, CF, CM",ATTACKER
P. Foden,21,171,69,84,92,84,78,80,87,56,57,"CAM, LW, CM",ATTACKER
Fernandinho,36,179,67,83,83,59,72,75,78,84,75,"CDM, CB",MIDFIELDER
C. Vela,32,177,77,83,83,80,82,78,84,31,67,"RW, LW, CAM",ATTACKER
A. Witsel,32,186,81,83,83,61,72,81,79,82,79,"CDM, CM",MIDFIELDER
S. Kjær,32,190,86,83,83,67,55,64,59,85,78,CB,DEFENDER
E. Džeko,35,193,80,83,83,66,83,72,78,45,76,ST,ATTACKER
J. Boateng,32,190,94,83,83,72,50,73,67,84,79,CB,DEFENDER
T. Alderweireld,32,186,81,83,83,58,55,70,67,86,77,CB,DEFENDER
Azpilicueta,31,178,77,83,83,66,55,76,72,84,76,"CB, RWB",DEFENDER
Paulinho,32,183,80,83,83,72,81,77,81,80,85,"CM, CAM, CDM",MIDFIELDER
Muniain,28,170,66,83,83,81,76,82,87,51,61,"CAM, RM, LM",ATTACKER
Canales,30,176,65,83,83,83,80,85,82,67,71,"CM, CDM, LM",MIDFIELDER
Alex Sandro,30,180,80,83,83,81,65,77,79,78,79,"LB, LM",DEFENDER
K. Manolas,30,189,83,83,83,81,25,44,62,85,81,CB,DEFENDER
H. Mkhitaryan,32,177,75,83,83,85,80,79,83,56,74,"CF, RM, RW",ATTACKER
J. Cuadrado,33,179,72,83,83,90,75,77,87,76,72,"RB, RM",DEFENDER
J. Matip,29,194,90,83,83,58,46,68,68,85,78,CB,DEFENDER
S. Coates,30,196,92,83,83,68,49,55,63,84,87,CB,DEFENDER
F. Acerbi,33,192,88,83,83,63,50,62,64,86,83,CB,DEFENDER
Allan,30,175,74,83,83,72,71,77,82,80,79,"CDM, CM",MIDFIELDER
K. Volland,28,179,85,83,83,73,85,79,80,42,86,"ST, CF",ATTACKER
Morata,28,190,84,83,83,82,80,72,81,31,77,ST,ATTACKER
M. Icardi,28,181,75,83,83,69,83,65,77,36,69,ST,ATTACKER
L. Spinazzola,28,186,75,83,83,92,64,73,80,78,71,"LWB, LB, LM",DEFENDER
J. Stones,27,188,76,83,86,70,51,71,74,84,78,CB,DEFENDER
R. Jiménez,30,188,81,83,83,72,82,76,81,47,82,ST,ATTACKER
A. Rüdiger,28,190,85,83,84,75,43,68,64,84,84,CB,DEFENDER
L. Ocampos,26,188,84,83,83,81,84,78,83,63,84,"LW, RW",ATTACKER
M. Kovačić,27,176,80,83,84,70,69,83,88,69,70,"CM, CDM",MIDFIELDER
T. Partey,28,185,77,83,83,69,71,82,81,80,84,"CM, CDM",MIDFIELDER
Gayà,26,172,66,83,86,83,61,77,80,79,73,"LB, LWB, LM",DEFENDER
T. Lemar,25,171,66,83,86,82,76,82,86,59,63,"LM, CM, RM",MIDFIELDER
P. Højbjerg,25,185,84,83,86,60,71,76,76,81,82,"CDM, CM",MIDFIELDER
Á. Correa,26,171,70,83,86,85,83,78,87,49,74,"ST, RM",ATTACKER
D. Zapata,30,189,88,83,83,80,81,61,78,35,84,ST,ATTACKER
A. Kramarić,30,177,73,83,83,71,86,76,86,30,71,"ST, CAM",ATTACKER
Angeliño,24,175,69,83,86,78,71,82,84,76,70,"LWB, LM",DEFENDER
L. Hernández,25,184,79,83,86,77,54,68,71,84,79,"LB, CB",DEFENDER
Marco Asensio,25,182,76,83,86,82,80,81,83,43,62,"RW, LW",ATTACKER
W. Weghorst,28,197,84,83,83,63,83,59,70,52,86,ST,ATTACKER
R. Gosens,26,183,76,83,83,82,75,74,79,77,81,"LWB, LB, LM",DEFENDER
Merino,25,189,83,83,87,74,78,81,82,82,81,CM,MIDFIELDER
P. Kimpembe,25,189,80,83,87,81,42,68,70,83,86,CB,DEFENDER
F. Mendy,26,180,73,83,86,92,64,76,79,78,84,LB,DEFENDER
A. Wan-Bissaka,23,183,72,83,87,85,52,69,79,81,75,RB,DEFENDER
Ronaldo Cabrais,29,177,75,83,83,88,77,83,84,35,72,"CAM, RM",ATTACKER
Arthur,24,171,73,83,85,69,67,83,88,72,70,CM,MIDFIELDER
Gabriel Jesus,24,175,73,83,87,84,81,72,86,39,73,ST,ATTACKER
O. Dembélé,24,178,67,83,88,93,77,77,86,36,56,RW,ATTACKER
M. Mount,22,178,70,83,89,74,79,84,83,55,65,"CAM, CM, RW",ATTACKER
F. Chiesa,23,175,70,83,91,91,81,74,85,48,73,"RW, LW, RM",ATTACKER
F. Valverde,22,182,78,83,89,86,74,78,79,77,80,CM,MIDFIELDER
J. Koundé,22,181,75,83,89,81,45,64,72,84,78,CB,DEFENDER
João Félix,21,181,72,83,91,82,79,76,86,40,68,"CF, ST",ATTACKER
Pepe,38,188,80,82,82,80,51,60,61,82,87,CB,DEFENDER
Raúl Albiol,35,190,82,82,82,40,41,62,63,86,73,CB,DEFENDER
I. Rakitić,33,184,78,82,82,57,79,85,78,75,69,CM,MIDFIELDER
G. Bale,31,185,82,82,82,82,84,82,80,55,70,"RM, RW",MIDFIELDER
É. Banega,33,174,75,82,82,62,75,84,82,76,71,"CDM, CM",MIDFIELDER
M. Pjanić,31,178,72,82,82,65,68,83,81,75,67,CM,MIDFIELDER
Yuri Berchiche,31,181,80,82,82,83,68,76,76,79,82,LB,DEFENDER
L. Stindl,32,181,80,82,82,61,84,81,81,60,73,"CAM, ST",ATTACKER
Oscar,29,179,70,82,82,78,79,82,82,59,67,"CAM, CM, LW",ATTACKER
Coutinho,29,172,68,82,82,69,79,80,88,52,59,"CAM, LW, CM",ATTACKER
C. Eriksen,29,181,76,82,82,62,78,88,81,53,52,"CM, CAM",MIDFIELDER
D. Blind,31,180,72,82,82,45,64,82,79,83,72,"CB, CDM, LB",DEFENDER
M. Götze,29,177,71,82,82,68,75,83,84,55,69,"CAM, CM",ATTACKER
J. Corona,28,173,66,82,82,83,67,79,85,74,60,"RM, RB, RW",MIDFIELDER
A. Lacazette,30,175,73,82,82,75,82,74,82,44,72,ST,ATTACKER
I. Gueye,31,174,66,82,82,69,62,71,78,83,77,"CDM, CM",MIDFIELDER
Mário Fernandes,30,187,80,82,82,82,61,74,78,79,79,RB,DEFENDER
Isco,29,176,79,82,82,66,75,80,88,59,59,"CAM, CM, LW",ATTACKER
W. Zaha,28,180,66,82,82,89,77,73,87,34,75,"CF, LM, ST",ATTACKER
L. Muriel,30,179,79,82,82,89,83,74,86,27,67,ST,ATTACKER
Campaña,28,179,70,82,82,68,74,83,82,71,72,"CM, LM, RM",MIDFIELDER
Gabriel Paulista,30,185,72,82,82,67,49,71,65,84,83,CB,DEFENDER
J. Veretout,28,177,67,82,83,77,75,77,79,77,81,"CDM, CM",MIDFIELDER
Suso,27,176,70,82,82,76,76,82,85,32,55,RW,ATTACKER
T. Hazard,28,175,71,82,82,80,76,80,85,52,66,"LM, CF",MIDFIELDER
Juan Bernat,28,170,67,82,82,82,65,78,82,76,68,LB,DEFENDER
Portu,29,167,66,82,82,90,78,77,79,59,79,"RW, RM, LW",ATTACKER
H. Çalhanoğlu,27,178,76,82,83,67,78,84,85,59,57,"CAM, LM",ATTACKER
E. Can,27,186,86,82,83,78,78,78,80,84,87,"CM, CB, CDM",MIDFIELDER
Saúl,26,184,75,82,85,71,78,78,79,78,79,"CM, LM",MIDFIELDER
M. de Roon,30,185,76,82,82,66,68,71,73,82,83,"CDM, CM",MIDFIELDER
Grimaldo,25,171,69,82,85,87,65,81,83,74,71,"LB, LM, LWB",DEFENDER
A. Romagnoli,26,185,75,82,83,68,40,56,68,85,78,CB,DEFENDER
D. Berardi,26,183,72,82,82,79,80,81,85,36,69,"RW, RM",ATTACKER
N. Tagliafico,28,172,65,82,82,80,55,73,76,81,81,LB,DEFENDER
N. Süle,25,195,99,82,87,65,42,59,51,83,81,"CB, RB",DEFENDER
Alex Telles,28,181,71,82,82,83,73,82,78,77,73,LB,DEFENDER
Anderson Talisca,27,190,80,82,83,80,83,81,83,52,75,"CF, ST, CAM",ATTACKER
R. De Paul,27,180,70,82,83,78,76,80,82,71,79,"CM, CF",MIDFIELDER
Rafa,28,170,63,82,82,94,73,74,86,50,52,"RM, LM",MIDFIELDER
Diego Carlos,28,185,86,82,84,76,47,63,68,81,83,CB,DEFENDER
A. Rebić,27,185,78,82,82,86,83,75,81,48,80,"LM, ST",MIDFIELDER
C. Lenglet,26,186,81,82,86,72,45,67,66,83,79,CB,DEFENDER
J. Maddison,24,175,73,82,85,75,78,84,84,54,60,"CAM, CM",ATTACKER
M. Locatelli,23,185,75,82,87,61,72,79,77,79,79,"CDM, CM",MIDFIELDER
M. Ødegaard,22,178,68,82,88,77,74,83,84,58,62,"CAM, CM",ATTACKER
Rúben Neves,24,180,80,82,87,59,75,85,77,74,73,CM,MIDFIELDER
Diogo Jota,24,178,73,82,87,84,81,73,85,57,77,"LW, ST",ATTACKER
J. Gomez,24,188,77,82,88,81,30,66,69,83,78,CB,DEFENDER
Fabián,25,189,70,82,86,63,78,79,82,74,71,CM,MIDFIELDER
C. Pulisic,22,177,69,82,88,89,70,73,86,37,59,"LW, RW, LM",ATTACKER
Palhinha,25,190,82,82,87,60,65,70,72,85,88,"CDM, CM",MIDFIELDER
D. Upamecano,22,186,90,82,90,81,43,62,68,81,81,CB,DEFENDER
Mario Hermoso,26,185,76,82,85,75,49,72,71,83,80,"CB, LB",DEFENDER
L. Bailey,23,178,77,82,85,93,78,74,84,33,64,"RM, RW, LW",MIDFIELDER
B. Chilwell,24,178,77,82,86,76,53,77,78,78,75,"LWB, LB",DEFENDER
Josué Chiamulera,29,185,80,82,82,78,43,56,64,85,79,CB,DEFENDER
Richarlison,24,181,71,82,87,83,78,73,83,53,80,"ST, LW, LM",ATTACKER
C. Romero,23,185,79,82,87,76,46,52,61,83,84,CB,DEFENDER
D. Dumfries,25,188,80,82,84,80,61,66,72,78,89,RB,DEFENDER
Raphinha,24,176,68,82,87,91,76,76,84,49,72,"RM, RW",MIDFIELDER
A. Isak,21,192,77,82,86,84,82,68,79,29,69,ST,ATTACKER
D. Rice,22,185,80,82,87,66,53,71,74,81,79,"CDM, CM",MIDFIELDER
A. Davies,20,183,75,82,89,96,67,71,82,75,75,"LB, LM",DEFENDER
F. Neuhaus,24,185,74,82,87,64,72,79,82,66,67,CM,MIDFIELDER
Y. En-Nesyri,24,188,78,82,86,78,83,58,78,35,76,"ST, LW",ATTACKER
T. Ndombele,24,179,76,82,87,71,72,81,88,69,72,"CAM, CM, CDM",ATTACKER
T. Souček,26,192,86,82,85,64,72,74,74,82,85,"CDM, CM",MIDFIELDER
Éder Militão,23,186,78,82,89,83,50,69,71,83,82,CB,DEFENDER
Ferran Torres,21,184,77,82,90,82,79,78,82,35,66,"RW, ST",ATTACKER
Pau Torres,24,191,80,82,89,71,38,67,70,84,80,CB,DEFENDER
Dani Olmo,23,179,72,82,87,67,76,81,86,50,60,"CAM, CF",ATTACKER
Joaquín,39,179,75,81,81,68,80,84,81,44,55,"RM, LM",MIDFIELDER
B. Yılmaz,35,188,77,81,81,79,83,69,73,34,79,ST,ATTACKER
Nani,34,177,70,81,81,70,77,81,85,37,68,"LW, LM",ATTACKER
A. Gignac,35,189,85,81,81,68,83,73,75,41,84,"ST, CF",ATTACKER
H. Herrera,31,185,78,81,81,70,75,76,76,78,84,CM,MIDFIELDER
G. Higuaín,33,186,89,81,81,58,84,71,78,29,71,ST,ATTACKER
José Fonte,37,191,84,81,81,32,46,62,63,83,77,CB,DEFENDER
J. Vertonghen,34,189,86,81,81,76,62,72,67,83,78,CB,DEFENDER
Lucas Leiva,34,179,78,81,81,56,65,73,76,82,69,CDM,MIDFIELDER
I. Perišić,32,186,80,81,81,81,79,76,79,64,74,"LM, LW, LWB",MIDFIELDER
A. Vidal,34,180,75,81,81,65,79,79,79,82,82,CM,MIDFIELDER
M. Kruse,33,180,76,81,81,64,81,81,82,40,66,"CF, CAM",ATTACKER
M. Arnautović,32,192,83,81,81,79,81,79,78,44,82,ST,ATTACKER
Marlos,33,174,76,81,81,79,76,78,86,47,68,"CAM, RM",ATTACKER
B. André,30,180,74,81,81,67,64,74,75,80,85,"CDM, CM",MIDFIELDER
N. Otamendi,33,183,76,81,81,63,57,62,59,83,81,CB,DEFENDER
T. Delaney,29,182,79,81,81,75,71,74,74,83,82,"CDM, CM",MIDFIELDER
A. Delort,29,181,83,81,81,84,82,73,75,37,85,ST,ATTACKER
K. Kampl,30,178,66,81,81,70,67,81,85,63,62,"CM, CDM",MIDFIELDER
D. Ings,28,178,73,81,81,79,84,70,80,45,70,ST,ATTACKER
Pizzi,31,177,72,81,81,75,77,81,82,64,66,"CM, RM",MIDFIELDER
Jonathan Viera,31,171,67,81,81,82,75,79,82,63,69,CAM,ATTACKER
J. Rodríguez,29,180,75,81,81,53,86,86,86,50,60,"RW, CAM, CM",ATTACKER
Danilo,29,184,78,81,81,73,67,73,74,82,79,"RB, LB, CB",DEFENDER
Sergi Roberto,29,178,68,81,81,76,63,80,77,76,73,"RB, CM, RM",DEFENDER
S. Berghuis,29,182,75,81,81,80,81,82,82,36,66,RW,ATTACKER
Paco Alcácer,27,175,70,81,81,77,84,69,81,35,61,ST,ATTACKER
Nacho Fernández,31,180,76,81,81,78,37,66,69,81,80,"CB, RB, LB",DEFENDER
Danilo Pereira,29,188,83,81,81,64,63,71,73,80,86,"CDM, CM",MIDFIELDER
Lucas Moura,28,174,70,81,81,90,79,70,86,43,68,"RM, CF",MIDFIELDER
J. Tarkowski,28,188,81,81,82,57,45,67,65,82,81,CB,DEFENDER
A. Florenzi,30,173,67,81,81,76,77,79,80,76,62,"RB, RWB",DEFENDER
K. Zouma,26,190,95,81,84,65,51,63,57,81,85,CB,DEFENDER
Iñigo Martínez,30,182,77,81,81,71,56,66,64,81,79,CB,DEFENDER
W. Orban,28,186,87,81,82,49,36,52,55,84,80,CB,DEFENDER
A. Milik,27,186,78,81,82,64,84,67,76,39,71,ST,ATTACKER
J. Ward-Prowse,26,173,66,81,84,59,74,86,78,67,73,CM,MIDFIELDER
E. Višća,31,172,63,81,81,87,78,78,82,47,64,"RM, RW",MIDFIELDER
M. Arnold,27,184,74,81,82,65,81,79,78,76,74,"CDM, CM",MIDFIELDER
L. Paredes,27,180,75,81,83,66,71,83,79,76,79,"CDM, CM",MIDFIELDER
A. Januzaj,26,186,76,81,81,79,75,80,83,30,58,"RW, RM",ATTACKER
E. Forsberg,29,177,76,81,81,70,73,82,83,35,62,"CAM, CF",ATTACKER
A. Belotti,27,181,84,81,82,76,81,59,78,38,83,ST,ATTACKER
Lucas Vázquez,30,173,70,81,81,82,73,79,80,69,69,"RW, RB, RM",ATTACKER
Fred,28,169,62,81,81,77,66,77,81,75,71,"CDM, CM",MIDFIELDER
A. Rabiot,26,192,80,81,82,76,74,76,80,76,79,"CM, CDM",MIDFIELDER
P. Zieliński,27,180,75,81,82,81,75,81,85,70,61,"CM, CAM",MIDFIELDER
Otávio,26,172,71,81,82,78,69,79,85,63,68,"LM, RM, CM",MIDFIELDER
D. Machís,28,174,74,81,81,88,80,75,83,38,70,"LM, RM, ST",MIDFIELDER
A. Martial,25,184,76,81,84,87,80,73,85,35,68,"ST, LM",ATTACKER
J. Brandt,25,185,83,81,85,73,75,80,84,48,66,"CAM, CM, CF",ATTACKER
J. Correa,26,189,75,81,82,84,75,77,85,39,69,"CF, ST, CAM",ATTACKER
Iñaki Williams,27,186,80,81,82,94,78,72,78,37,81,"ST, RW",ATTACKER
M. Politano,27,171,67,81,81,83,77,78,84,42,55,"RM, RW",MIDFIELDER
Morales,33,180,70,81,81,86,82,75,85,52,68,"ST, LM",ATTACKER
D. Djené,29,178,72,81,82,69,37,62,62,83,79,CB,DEFENDER
H. Hateboer,27,185,72,81,81,84,64,72,77,77,79,"RWB, RB, RM",DEFENDER
D. van de Beek,24,184,74,81,86,68,78,76,79,72,77,"CM, CAM, CDM",MIDFIELDER
D. Calvert-Lewin,24,187,71,81,85,83,77,64,77,39,82,ST,ATTACKER
H. Lozano,25,175,70,81,82,93,76,72,82,41,62,"RW, LW",ATTACKER
K. Phillips,25,178,72,81,85,67,65,76,75,78,82,"CDM, CM, CB",MIDFIELDER
Gonçalo Guedes,24,179,68,81,86,86,79,76,82,36,68,"LM, ST, CF",MIDFIELDER
K. Laimer,24,180,72,81,85,81,68,77,78,80,77,"CDM, CM, RB",MIDFIELDER
N. Pépé,26,183,73,81,82,88,79,75,83,36,65,"RM, RW",MIDFIELDER
N. Mukiele,23,187,84,81,85,80,49,69,73,82,80,"RWB, CB, RM",DEFENDER
G. Lo Celso,25,177,68,81,85,75,76,82,83,69,73,"CM, CAM",MIDFIELDER
Yeray,26,182,79,81,83,68,49,62,64,82,77,CB,DEFENDER
L. Pellegrini,25,186,77,81,86,78,74,81,80,72,77,"CAM, CM, CDM",ATTACKER
Juiano Mestres,25,181,82,81,81,71,61,57,63,82,80,"CB, CDM",DEFENDER
Adryan Zonta,29,172,68,81,81,93,66,75,76,72,77,"LWB, LB",DEFENDER
Rosberto Dourado,21,175,70,81,81,77,57,74,77,82,68,"CDM, CM, CAM",MIDFIELDER
Louri Beretta,29,188,83,81,81,78,84,62,72,33,71,"ST, CF",ATTACKER
Welington Dano,21,178,69,81,81,79,54,76,79,75,74,"LB, LM",DEFENDER
